product_id,name,price,category,broad_category,page
325086378,Bormioli Rocco Florian Champagne Flutes - 210ml - Blue - Pack of 6,28.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/champagne-flutes-and-saucers,marketplace,3
325086402,Bormioli Rocco Bartender Novecento Champagne Saucers - 220ml - Pack of 6,29.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/champagne-flutes-and-saucers,marketplace,3
325086626,Bormioli Rocco Restaurant Liqueur Glasses - 80ml - Pack of 6,23.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/liqueur-glasses,marketplace,3
325086496,LAV Bodega Highball Glasses - 520ml - Clear - Pack of 6,,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/highball-glasses,marketplace,3
325086417,LAV Misket Gin & Tonic Glasses - 645ml - Clear - Pack of 6,16.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/gin-glasses,marketplace,3
325086640,Bormioli Rocco America '20s Highball Glasses - 400ml - Lilac Rose - Pack of 6,24.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/highball-glasses,marketplace,3
325086337,LAV Terra Whiskey Glasses - 475ml - Clear - Pack of 6,12.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/whisky-glasses,marketplace,3
325109422,"Outsunny Set of 2 Metal Trellis for Climbing Plants, Leaf Design",50.99,/groceries/en-GB/shop/marketplace/garden-and-diy/garden-tools-and-power-tools/garden-tools,marketplace,3
325086420,LAV Fiesta Pina Colada Glasses - 460ml - Clear - Pack of 6,15.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/cocktail-glasses,marketplace,3
325086647,Bormioli Rocco Romantic Highball Glasses - 475ml - Pack of 4,29.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/highball-glasses,marketplace,3
325086359,Rink Drink Spanish Gin Glasses - 730ml - Pack of 6,22.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/gin-glasses,marketplace,3
325086468,LAV Brit Whiskey Glasses - 325ml - Clear - Pack of 6,13.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/whisky-glasses,marketplace,4
325088095,Argon Tableware Corto Stemless Wine Glasses - 475ml - Pack of 6,14.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/wine-glasses,marketplace,4
325086321,LAV Zen+ Coloured Base Glass Coffee Mugs - 225ml - Multicolour - Pack of 6,,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/coffee-and-tea-glasses,marketplace,4
325086485,BillyCan Picnic Tumblers - 400ml  - Ocean Pansy  - Pack of 6,,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/tumblers,marketplace,4
325086341,LAV Zen+ Glass Coffee Mugs - 225ml - Clear - Pack of 6,13.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/coffee-and-tea-glasses,marketplace,4
325094162,Bormioli Rocco Aurum Champagne Flutes - 230ml - Pack of 6,30.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/champagne-flutes-and-saucers,marketplace,4
325087885,LAV Fonte Optic Glass Carafe - 1.2L - White Lid,9.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/bottles-carafes-jugs-and-decanters,marketplace,4
325093023,Argon Tableware Classic Brandy Glasses - 390ml - Pack of 6,12.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/brandy-glasses,marketplace,4
325086491,LAV Bodega Water Glasses - 345ml - Clear - Pack of 6,10.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/highball-glasses,marketplace,4
325086509,Duralex 12 Piece Picardie Drinking Tumbler Glasses Set - Grey - 250ml,30.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/tumblers,marketplace,4
325094066,Argon Tableware Tallo Red Wine Glasses - 400ml - Pack of 6,15.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/wine-glasses,marketplace,4
325094192,LAV Vega Glass Coffee Cups - 350ml - Pack of 12,22.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/coffee-and-tea-glasses,marketplace,4
325086349,Bormioli Rocco Spazio Champagne Flutes - 190ml - Pack of 6,23.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/champagne-flutes-and-saucers,marketplace,4
325086383,Rink Drink Double-Walled Glasses Set - 360ml - Pack of 2,11.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/highball-glasses,marketplace,4
325086627,Bormioli Rocco Florian Red Wine Glasses - 535ml - Clear - Pack of 6,33.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/wine-glasses,marketplace,4
325086614,Bormioli Rocco Electra Glass Champagne Flutes - 230ml - Pack of 6,,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/champagne-flutes-and-saucers,marketplace,4
325086426,LAV Helen Stacking Whisky Glasses - 325ml - Pack of 6,13.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/whisky-glasses,marketplace,4
325089672,Argon Tableware Corto Stemless Wine Glasses - 360ml - Pack of 6,15.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/wine-glasses,marketplace,4
325094161,Rink Drink Snifter Beer Glasses - 400ml - Clear - Pack of 6,16.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/beer-glasses,marketplace,4
325086625,Bormioli Rocco Luna Double Whisky Glasses - 340ml - Pack of 4,17.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/whisky-glasses,marketplace,4
325095383,LAV Bodega Highball Glasses - 520ml - Colour Base - Pack of 6,13.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/highball-glasses,marketplace,4
325094089,Bormioli Rocco Snifter Beer Glasses - 530ml,,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/beer-glasses,marketplace,4
325086522,Bormioli Rocco Rock Bar Lounge Water Glasses - 270ml - Blue - Pack of 6,23.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/highball-glasses,marketplace,4
325086524,Bormioli Rocco Romantic Highball Glasses - 340ml - Pack of 4,26.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/highball-glasses,marketplace,4
325094139,Duralex Picardie Highball Cocktail Glasses - 360ml Glass Tumblers - Pack of 6,19.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/highball-glasses,marketplace,5
325086471,LAV Adora Coloured Shot Glasses - 80ml - 6 Colours - Pack of 6,11.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/shot-glasses,marketplace,5
325086518,Bormioli Rocco Bartender Stone Highball Glasses - 490ml - Pack of 4,19.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/highball-glasses,marketplace,5
325087887,LAV Vera Glass Carafe - 1.2L - White Lid,10.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/bottles-carafes-jugs-and-decanters,marketplace,5
325093010,Argon Tableware Classic Highball Glasses - 360ml - Clear - Pack of 6,,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/highball-glasses,marketplace,5
325086614,Bormioli Rocco Electra Glass Champagne Flutes - 230ml - Pack of 6,,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/champagne-flutes-and-saucers,marketplace,5
325094195,LAV Helen Stacking Highball Glasses - 515ml - Pack of 12,,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/highball-glasses,marketplace,5
325086488,BillyCan Picnic Tumblers - 300ml  - Mint Pansy  - Pack of 6,,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/tumblers,marketplace,5
325086400,LAV Tokyo Glass Champagne Flutes - 200ml - Clear - Pack of 6,13.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/champagne-flutes-and-saucers,marketplace,5
325086492,Duralex Picardie Glass Tumblers - 250ml - Jungle Green - Pack of 6,19.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/tumblers,marketplace,5
325095453,Nicola Spring Hand-Printed Milk Jug - 300ml - Navy,8.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/bottles-carafes-jugs-and-decanters,marketplace,5
325086495,Duralex Lys Tumbler Glasses - 210ml - Amber - Pack of 6,14.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/tumblers,marketplace,5
325094192,LAV Vega Glass Coffee Cups - 350ml - Pack of 12,22.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/coffee-and-tea-glasses,marketplace,5
325086372,Nicola Spring Meknes Recycled Glass Tumblers - 215ml - Green - Pack of 6,17.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/tumblers,marketplace,5
325086625,Bormioli Rocco Luna Double Whisky Glasses - 340ml - Pack of 4,17.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/whisky-glasses,marketplace,5
325086444,LAV Empire Highball Glasses - 510ml - Clear - Pack of 6,13.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/highball-glasses,marketplace,5
325086629,Bormioli Rocco Florian Double Whisky Glasses - 375ml - Blue - Pack of 6,24.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/whisky-glasses,marketplace,5
325095336,"Duralex Picardie Drinking Glasses - 130ml Tumblers for Water, Juice - Pack of 6",12.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/tumblers,marketplace,5
325094178,Argon Tableware Reusable Plastic Highball Glasses - 580ml - Pack of 6,18.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/highball-glasses,marketplace,5
325086355,LAV Tokyo Wine Glasses - 370ml - Clear - Pack of 6,13.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/wine-glasses,marketplace,5
325086657,Bormioli Rocco America '20s Water Glasses - 370ml - Sapphire Blue - Pack of 6,24.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/tumblers,marketplace,5
325086504,LAV Combinato Gin Glasses - 730ml - Clear - Pack of 6,16.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/gin-glasses,marketplace,5
325094068,Bormioli Rocco Ypsilon Water Glasses - 255ml - Pack of 6,13.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/tumblers,marketplace,5
325094098,Bormioli Rocco Pulsar Water Glasses - 300ml - Blue - Pack of 6,17.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/tumblers,marketplace,5
325095330,"Duralex Picardie Drinking Glasses - 200ml Tumblers for Water, Juice - Blue - Pack of 6",15.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/tumblers,marketplace,6
325086434,LAV  Keops Highball Glasses - 460ml - Clear,12.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/highball-glasses,marketplace,6
325086680,Bormioli Rocco Officina 1825 Glass Carafe - 1.2 Litre,11.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/bottles-carafes-jugs-and-decanters,marketplace,6
325086587,Bormioli Rocco Pulsar Highball Glasses - 470ml - Purple - Pack of 6,18.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/highball-glasses,marketplace,6
325094129,"Duralex Gigogne Glass Tumblers - 160ml Drinking Glasses for Water, Juice - Pack of 6",12.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/tumblers,marketplace,6
325086343,Bormioli Rocco America '20s Champagne Saucers - 230ml - Clear - Pack of 6,31.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/champagne-flutes-and-saucers,marketplace,6
325086394,LAV Vega Water Glasses - 340ml - Clear - Pack of 6,10.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/highball-glasses,marketplace,6
325088094,Argon Tableware Campana Red Wine Glasses - 365ml - Pack of 6,11.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/wine-glasses,marketplace,6
325094189,LAV Vega Glass Coffee Cups - 350ml - Pack of 6,15.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/coffee-and-tea-glasses,marketplace,6
325086649,Bormioli Rocco Stern Tankard Glass Beer Mugs - 270ml - Pack of 2,15.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/beer-glasses,marketplace,6
325086409,LAV Nevakar Hurricane Beer Glasses - 385ml - Clear - Pack of 6,13.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/beer-glasses,marketplace,6
325088095,Argon Tableware Corto Stemless Wine Glasses - 475ml - Pack of 6,14.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/wine-glasses,marketplace,6
325086413,LAV Gaia Stemless White Wine Glasses - 360ml - Clear - Pack of 6,11.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/wine-glasses,marketplace,6
325087892,Argon Tableware Tallo Glass Water Jug - 1.8 Litre,12.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/bottles-carafes-jugs-and-decanters,marketplace,6
325086531,Bormioli Rocco Officina 1825 Highball Glasses - 475ml - Pack of 6,26.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/highball-glasses,marketplace,6
325094148,Duralex Manhattan Vintage Whisky Glasses - 220ml - Pack of 6,15.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/whisky-glasses,marketplace,6
325094079,Argon Tableware Tallo Liqueur Glasses - 80ml - Clear - Pack of 6,14.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/liqueur-glasses,marketplace,6
325086636,Bormioli Rocco America '20s Highball Glasses - 400ml - Clear - Pack of 6,24.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/highball-glasses,marketplace,6
325094115,Bormioli Rocco Inalto Uno Stemless Wine Glasses - 450ml,,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/wine-glasses,marketplace,6
325086432,LAV Nevakar White Wine Glasses - 200ml - Clear,12.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/wine-glasses,marketplace,6
325086660,Bormioli Rocco Barglass Highball Glasses - 375ml - Pack of 6,,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/highball-glasses,marketplace,6
325086490,BillyCan Picnic Tumblers - 300ml  - Raspberry Pansy  - Pack of 6,34.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/tumblers,marketplace,6
325086377,LAV Venue Glass Champagne Flutes - 220ml - Clear - Pack of 6,13.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/champagne-flutes-and-saucers,marketplace,6
325095486,BillyCan Hand-Painted Picnic Water Jug - 1.7L - Cotton Peony,25.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/bottles-carafes-jugs-and-decanters,marketplace,6
325093013,Argon Tableware Classic White Wine Glasses - 245ml - Pack of 6,12.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/wine-glasses,marketplace,7
325086375,LAV Nora Highball Glasses - 325ml - Pack of 6,12.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/highball-glasses,marketplace,7
325086369,Rink Drink Double-Walled Glasses Set - 200ml - Pack of 2,10.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/highball-glasses,marketplace,7
325086505,Duralex Picardie Glass Tumblers - 250ml - Pink - Pack of 4,16.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/tumblers,marketplace,7
325094101,Bormioli Rocco Inalto Uno Red Wine Glasses - 640ml - Pack of 6,41.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/wine-glasses,marketplace,7
325086362,RCR Crystal 6 Piece Marilyn Wine Glasses Set - 259ml,25.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/wine-glasses,marketplace,7
325086613,Bormioli Rocco Aere Water Glasses - 280ml - Pack of 6,15.00,/groceries/en-GB/shop/marketplace/cook-and-dine/glassware/tumblers,marketplace,7
